,track_id,id,name,followers,genres,popularity,extract_date
0,1zQ9VgCQ3iiPETAWIzSqVW,0RtyQYQcDo0lPs8dLBAcDP,Bjørn Olav Edvardsen,641,[],21,2023-03-27
2,2XKuRwspIG5xIKZYVCNbty,7l8rOFwZFQ3G0sgZ7gjGng,Jung Seung Hwan,226340,"['k-pop', 'korean pop']",54,2023-03-27
4,38fQqnhQm0EaL0vL3nSfVP,5ppJZFMF0gAfrHfZTGuHe4,Dan Romer,22107,[],51,2023-03-27
6,3B7f8nNtTeZ2KGwnK2Yc9Q,2EFJSNZzGSfLXMfAaxbK2A,Ulala Session,3658,[],29,2023-03-27
8,4G4GwI2xWeHMqahPIyUKVG,7KZnYmjUlqcJ8Hozbg64Lu,Hajin,11993,['korean ost'],43,2023-03-27
10,5PKZxXfSkHPISwkfMsvrOp,5r1obpa97ZZhp3QsgRtV9u,Jay Kim,1798,[],26,2023-03-27
11,5PKZxXfSkHPISwkfMsvrOp,05z2bDn9OwFHMKgJ0porbw,KIM TAE MIN,0,[],14,2023-03-27
14,5TAzrlwHcjsqTtPSBcpL39,3eAsBHDYXtCSn67Zynq3Qd,The One,8189,['korean pop'],34,2023-03-27
16,5pPRtim5YAspFh9MF0a2pv,4qrNQeAY9fmYHiQUXu7k9g,Lokid,2848,[],32,2023-03-27
17,5pPRtim5YAspFh9MF0a2pv,1xavk9zCmvyvsPDKaumd9c,mu.b,19,[],16,2023-03-27
20,6NLNDvsrFTIi3IpNylBBae,3qo507hAo0pjRj42AmioUv,MINSEO,103824,"['k-pop', 'korean pop']",42,2023-03-27
22,7mc6DgO8Pcw2o817Jo0qH0,13eA4oLnDowghtVUqwSZSD,Laura Karpman,3240,[],36,2023-03-27
24,0OY3sKkXVVbp7foCuHPNZt,4KDyYWR7IpxZ7xrdYbKrqY,Bonnie Raitt,626462,"['classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'lilith', 'mellow gold', 'roots rock', 'singer-songwriter']",62,2023-03-27
26,0PqYyAaYsokYAhZDdf9B7M,68xFTHjN3CYGGlgzKSSAuZ,Ashley,936,[],29,2023-03-27
27,0PqYyAaYsokYAhZDdf9B7M,6CYau5txsDk6Flq7NmlUG7,Hideyoshi,34206,"['j-rap', 'japanese trap']",43,2023-03-27
30,0SJm7fUeb9ftKHXHLSE9AB,2h8Yy5xhlNbJsekoeiPhbb,Gina Alice,1975,[],36,2023-03-27
31,0SJm7fUeb9ftKHXHLSE9AB,72uoxerTvAd7x3cbfYmNc8,Chad Lawson,44115,"['compositional ambient', 'neo-classical', 'new age piano']",62,2023-03-27
34,0bjh0j7BgECHjNn805jTX5,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,9575485,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",82,2023-03-27
