,id,name,followers,popularity
0,3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,948486,69
1,2Ovp3J8JzCirwcGAgvK9cQ,孟庭葦,25617,35
2,4MUsDaGK0nPDJvYSoaoFUA,Perro Primo,221327,56
3,4nXXIxTneJksvGXrlmX8oA,Kaydy Cain,426924,63
4,4Fsv1gBjfqSyhzAPbhInXV,Yubeili,35099,50
5,5kfMU816qY0ujqEt3xIHqR,DT.Bilardo,24412,61
6,6gzfKa8KmgcAfhbeeKo28T,Al Records,484,51
7,2qDdxfKUpYg8wc49KIuT3b,Tommy Genesis,178244,60
8,6veh5zbFpm31XsPdjBgPER,BIA,433142,71
9,0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,597558,65
10,6I6fmQU7HGrUsCm4B5Nlk3,Royal Liverpool Philharmonic Orchestra,13727,53
11,5PIHDfb0kpwTfNuWRWjXmU,Simon Trpčeski,4087,38
12,6H9eOWeGZkU9alBUYqNR7Q,Vasily Petrenko,3620,47
13,3T0CG1MKkAu9rxA2ezgyLC,The Soggy Bottom Boys,45806,49
14,1eNxt1JI2Bgjl8bPDQ5sG8,Dan Tyminski,38705,50
15,1IdRNuzZylVdtc9oA3wZTk,神前 暁,13083,45
16,1N0ymPm6hUQbmzXDuERfeT,Big John Patton,9703,27
17,2JFP3hk2ys0hH6nnoduRkR,Novel Fergus,8341,43
18,4hrSnopounpvRQy7EfH2eY,ZAIN,602,26
19,2oK5cSlJAH5s2Kx5e1zcvh,William So,65434,44
20,5sOVNhUf8T3jiPhvFA6T7L,Kit Chan,29638,43
21,3XCnp5UV5wnNw49Xuka9qH,Sammi Cheng,322018,53
22,1kfWoWgCugPkyxQP8lkRlY,Jackson Wang,3750164,67
23,02qXVbvAMyWhdHb2GfUcXM,Marc Streitenfeld,20068,58
24,7vZV2UPiXQMVesiAxQmvBp,Enforced,18033,33
25,4doI7TR51c6DTaveTwpIkg,Emilie-Claire Barlow,75058,56
26,1KcnqRVBBJ2FUZMQUn3k5P,Kendra Jae,5476,33
27,6cK3NBO6uP7hh0oyuVELFl,Saweetie,1761992,73
28,7ha2CwInFLU6MVnKZoH2qv,Taarini,8182,28
29,6RcGBK2omFMg41g8NCvnvx,張艾嘉,19527,34
30,07NzVZ0BHZ0QOOw7nGvCgo,Big Joe Williams,36313,28
31,467M2s2YxXdlL2ZpDUNL3A,Paleface Swiss,65836,52
32,1OGcRXAY9iO4egWiIBqX8F,Graham Central Station,95472,36
33,7wxLYZxFPf1HWPIaGesxAg,Dan Shake,13698,35
34,0Gwk81mxP1xqDfRDNMUmQ3,元衛覺醒,7545,25
35,6guLg5yfcFlYyRp4DzrEO2,El Otro Polo,11436,38
36,5cMTiWeaWidGI8hVoZY8Ox,Perotá Chingó,310923,54
37,3faEZMpTmZFXpELU1EwWNL,Jordi Savall,119523,55
38,7Fu8GId2mQkNzqDbZbcDWM,Ton Koopman,29494,53
39,4LnhtD584uyzKVtVjtFpPb,Ariane Maurette,33,25
40,6XFVoO2x9F6P1FxZy1PG4H,Cæcilie Norby,8158,33
41,1GUaQ6GpaxFPKZ0SCSsnwD,Skullcrusher,31039,51
42,7GEHoJXxJ6wnS8dbgm0b1E,Yahaira Plasencia,254093,46
43,7AqX9JGo4WdLp5gPNSRoDJ,Cielo Torres,82235,40
44,1jrfEx1kZc8BNPLQDC7kVR,Amy Gutierrez,102154,43
45,5k5ooueWxxmAMBRhb1sJLc,Panamericana Music,3247,25
46,6WmoeHXq2ON9pCFbrvUP2k,CALIOPE,283,25
47,4x9iDqP59xKtLhj5UgFR8U,Brunella,2676,24
48,7honhhkddErv9gfkYjHqBT,Hattan,55803,34
49,2O8MDsUKNHTgwoodOefHYD,M. Nasir,102918,41
50,3rVDrFp6ni8VwaCGj5h395,Jamal Abdillah,90535,41
51,42LEQxfXLEuzdqorKBbUVN,RaiNao,18112,45
52,4CoyTfyMIZBUTBpLm6sRtn,Bowie Lam,2841,27
53,5PDp6o4eM8PEZrZ4rwh5vg,陳豪,1082,25
54,49fmsKjd3CZJRwn775QyOy,黃德斌,24,23
55,7eYZSXnQVCODCVmTV8Hk2T,The Lemon Twigs,121723,45
56,0JnNzCUsHuDcUcBatOzuGP,Sonya Belousova,17000,53
57,2GGcFMw7PABKRpAS0lpYX6,Giona Ostinelli,2985,53
58,6UgYjZpbEWBZL491Qzxw2E,Sonya Belousova & Giona Ostinelli,349,24
59,46CVdgJTvxMLcMqZ7YY0b5,RF Shannon,5316,31
60,53KwLdlmrlCelAZMaLVZqU,James Blake,1307949,68
61,41OHse5xHr1E6wceODGrPB,Jess Gillam,10431,43
62,6W0o59oeiRlY0XSViV604c,Jess Gillam Ensemble,956,39
63,1M9s5TbPcKurMEzvvW0FFH,Florence Beatrice Price,11042,41
64,4Q1MAEb7kX4TVdmLuZfGWl,Er-Gene Kahng,78,24
65,1cyZ6Rk54djseMzaZN2M3l,Ryan Cockerham,20,24
66,0LmDhwqnelK14DwythUrHY,The Janacek Philharmonic,20,24
67,4Otn2nALdNCTFUUExiskqw,Talia Goddess,6686,34
68,36pCa1JHc6hlGbfEmLzJQc,Stars Of The Lid,80255,45
69,4qFyLjhOZ9HGh22ggqoUBQ,Silas Short,4377,30
70,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,662850,57
71,3xr93aQhc2tZG25gbqzJ1P,章子怡,30,23
72,4GsjZQZJ3viOq4Uw8wZDbW,冰球樂團,25354,50
73,5TnITrQaYCsHNBHUh5VFTY,Sona Eyambe,369,24
74,1hg70WTHwGUQ7XDbjy3szw,My Friend,4715,37
75,648kpaANsUr1HABoE4mkPw,Houses,44828,42
76,04Zh21lNHZb2MCCcRcN2pc,Sorcha Richardson,28799,41
77,7xegqEOtukVFMdHyWnYkta,Daiyan Trisha,35135,31
78,1iXLcpr2SlUwrU2oCP8nI9,Afternoon Bike Ride,8512,44
79,314EDjJCQdcNfzwefA7daH,Fleeting Joys,29687,34
80,4Q2hTDZYFCohf17D5GvkIb,G Perico,123494,59
81,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,1396536,65
82,6gZVflqhSHhG3MjYrf1dOv,The Surfaris,37358,45
83,0qZlB7IX5lWPhlxsayt31p,Lola Beltrán,376313,50
84,4GNHtO2iEJ09r4JNTlqnO9,Master Peace,12487,45
85,2Ch5zHsrWSpgq7g0WI2UFD,Desert Niños,15071,37
86,4JFse8c35wKHAuzJO9BTqO,Slim Ans,6439,38
87,0jgJv4J29BJiJu1luw2SdA,Ms. Ambar,6424,53
88,6tnCYugShRsCcfHNGIUSq3,Cape Francis,9803,33
89,1Af916mBj2FbJyBEB3U13b,Nuno Canavarro,2256,26
90,4GmataFSHOSQWxuuUX57Bh,Jim-E Stack,31517,47
91,0knGpCTbmG4ctl1wzYRZs4,Dijon,281377,62
92,5274obTQJjzjyycRyJlfml,Whitechapel,477423,54
93,5WFeN8vtX0TYqv0IYVbWZT,Fenton Robinson,16596,47
94,1Uff91EOsvd99rtAupatMP,Claude Debussy,1389946,71
95,606pshIhidPHebEaDWSXDe,Mitsuko Uchida,44889,49
96,2jM44QDqboAQRKbiIqHIoE,Lulu Be.,3341,27
97,5dncbrnveDMX9DgxcedeUg,Louie Vega,58443,49
98,4ayLYM2DPcx5ItuBNT91IJ,Rick Wilhite,3611,26
99,19v0Cnq5D4SKom8SVlXhkw,Jean-Baptiste Lully,52349,49
100,7mkcqdifmNkhfJ7XZ7WFFS,William Christie,17139,48
101,652tly1eoAkKzhJ5z4LsEx,Les Arts Florissants,7683,42
102,2xlu6WzVa7WHwHhRptqq7c,Ida Sand,14301,50
103,4cBZdr2PjNdXrbkK9xhLJA,Stockholm Underground,76,34
104,6B3ZWSop1mrJd71rwFozVP,Nils Landgren,43731,52
105,4ejqWoCUdomzmXtgNJvXbl,Zöelle,451,28
106,3AmgGrYHXqgbmZ2yKoIVzO,Warpaint,467452,51
107,6kQLrF8BwbKymqwvCJJzLb,Monica Borrfors,684,24
108,6drAKOLWO1vzBrdmJmg5SE,Outline In Color,69573,43
109,3YMpkFfYLXaD8eZlQalBHC,Foxera,5276,30
110,1p4l2x4EUENGm1VCQfBkuu,Michael Swank,137,28
111,1NyY8eTT2Djl9p3LfBW8zg,Floyd Lee & His Mean Blues Band,98,25
112,0XHM5ZNJDU8e4CfbWMeSzC,Roo Panes,205099,57
113,7gXy60xRcwYujBFoYHnR2O,Big Red Machine,144252,56
114,7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,62235,62
115,0JvUFDnuWPbuyRa6ptVkLk,Marcell,511936,56
116,4XKp9GFAQfsh2NflSRnHQi,Shi Shi,135491,57
