,track_id,id,name,followers,genres,popularity,extract_date
0,1VsJhe9vOUXJihOrWrnRkR,3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,948486.0,"['album rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",69,2023-04-03
1,1XWyTJQgyYS1gz4bl1maGw,2Ovp3J8JzCirwcGAgvK9cQ,孟庭葦,25617.0,"['c-pop', 'classic mandopop']",35,2023-04-03
2,1YiyGNdPNbKd1kF9rHQqx5,4MUsDaGK0nPDJvYSoaoFUA,Perro Primo,221327.0,"['cumbia 420', 'previa']",56,2023-04-03
3,1YiyGNdPNbKd1kF9rHQqx5,4nXXIxTneJksvGXrlmX8oA,Kaydy Cain,426924.0,"['neoperreo', 'urbano espanol', 'urbano latino']",63,2023-04-03
4,1YiyGNdPNbKd1kF9rHQqx5,4Fsv1gBjfqSyhzAPbhInXV,Yubeili,35099.0,"['latin viral pop', 'reggaeton mexicano', 'urbano latino', 'urbano mexicano']",50,2023-04-03
5,1YiyGNdPNbKd1kF9rHQqx5,5kfMU816qY0ujqEt3xIHqR,DT.Bilardo,24412.0,['cumbia 420'],61,2023-04-03
6,1YiyGNdPNbKd1kF9rHQqx5,6gzfKa8KmgcAfhbeeKo28T,Al Records,484.0,[],51,2023-04-03
7,1bjKLAHQUcSOK6zBr9ZgDv,2qDdxfKUpYg8wc49KIuT3b,Tommy Genesis,178244.0,"['alternative r&b', 'bc underground hip hop', 'canadian hip hop', 'canadian trap', 'electropop', 'escape room', 'trap queen']",60,2023-04-03
8,1bjKLAHQUcSOK6zBr9ZgDv,6veh5zbFpm31XsPdjBgPER,BIA,433142.0,"['alternative r&b', 'pop', 'r&b', 'rap', 'rap latina', 'trap queen', 'viral rap']",71,2023-04-03
9,1dHW3YjcuARRv0PyBNhBzK,0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,597558.0,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",65,2023-04-03
10,1dHW3YjcuARRv0PyBNhBzK,6I6fmQU7HGrUsCm4B5Nlk3,Royal Liverpool Philharmonic Orchestra,13727.0,"['british orchestra', 'orchestra']",53,2023-04-03
11,1dHW3YjcuARRv0PyBNhBzK,5PIHDfb0kpwTfNuWRWjXmU,Simon Trpčeski,4087.0,"['balkan classical piano', 'classical piano']",38,2023-04-03
12,1dHW3YjcuARRv0PyBNhBzK,6H9eOWeGZkU9alBUYqNR7Q,Vasily Petrenko,3620.0,['orchestral performance'],47,2023-04-03
13,1eHmxX8fhEjVD8U4u6pfql,3T0CG1MKkAu9rxA2ezgyLC,The Soggy Bottom Boys,45806.0,['outlaw country'],49,2023-04-03
14,1eHmxX8fhEjVD8U4u6pfql,1eNxt1JI2Bgjl8bPDQ5sG8,Dan Tyminski,38705.0,"['bluegrass', 'mandolin', 'old-time', 'progressive bluegrass']",50,2023-04-03
