,track_id,id,name,followers,genres,popularity,extract_date
0,7ammiC4TKHgMXP8RnccYcA,5Y7rFm0tiJTVDzGLMzz0W1,IMANU,41288,"['dutch dnb', 'future bass', 'vapor twitch']",54,2023-03-29
1,7ammiC4TKHgMXP8RnccYcA,0u18Cq5stIQLUoIaULzDmA,DROELOE,207674,"['bass trap', 'edm', 'electronic trap', 'future bass', 'pop edm', 'vapor twitch']",56,2023-03-29
4,6JO6fHEpjYE8ILDhweIqQj,2uGx10VkBrI3GBvnQl81du,MAMAMOO+,34117,[],47,2023-03-29
5,6JO6fHEpjYE8ILDhweIqQj,7cEaNXXTHx3LokbjUUyHal,BIG Naughty,268637,[],62,2023-03-29
8,0C3sscH57PNeQ8dmY6xTIR,4yYvor6Rq4fG82J1L47DYp,MICHELLE,80452,"['bedroom pop', 'indie pop', 'indie r&b']",54,2023-03-29
10,0KGCTdgtxawKhrNrbuT10z,2ptmyXoL7poH6Zq62h1QT9,Merle Haggard,1184852,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",62,2023-03-29
12,0Pf2hR940vgS9iVk4CriZX,2xvW7dgL1640K8exTcRMS4,Chillies,805975,"['indie viet', 'v-pop']",56,2023-03-29
14,0TdQ54hT5S5racTQAwdW3U,4Rj9lQm9oSiMlirgpsM6eo,Sauti Sol,391724,"['afropop', 'azontobeats', 'gengetone', 'kenyan pop']",52,2023-03-29
16,0ZNail0sBLDyANc8rboHhs,0RBnTX5xoVa1bDYt9Qbies,Floorplan,40490,"['deep house', 'disco house', 'tech house', 'techno']",43,2023-03-29
18,0cb9Ov9eC2eFxac6bCcUZl,73mSg0dykFyhvU96tb5xQV,Hermanos Gutiérrez,184291,[],64,2023-03-29
19,0cb9Ov9eC2eFxac6bCcUZl,6YWdHD3R863Apw1hkx3BwC,Dan Auerbach,335051,"['garage rock', 'indie folk', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock', 'stomp and holler']",57,2023-03-29
22,0fWJG4fB5xWnpA7FWF6PXd,6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,730110,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",59,2023-03-29
23,0fWJG4fB5xWnpA7FWF6PXd,7wVdHjM4odGF5lGsqVSHJT,SaberZ,22457,"['belgian edm', 'big room', 'electro house', 'sky room']",47,2023-03-29
26,0pKMDhDrQExUqF6SxUpTpb,7hssUdpvtY5oiARaUDgFZ3,Ina Wroldsen,161726,['norwegian pop'],60,2023-03-29
27,0pKMDhDrQExUqF6SxUpTpb,0NGAZxHanS9e0iNHpR8f2W,Alok,12078647,"['electro house', 'pop nacional', 'slap house']",81,2023-03-29
30,11HCblH3YChzvCTGUB1hcs,0Yr4BBpK2dkCp2UsrJ9LZN,Bankrol Hayden,518133,"['melodic rap', 'pop rap', 'viral rap']",65,2023-03-29
31,11HCblH3YChzvCTGUB1hcs,5ZdULxhIJLbR5bhCzcPTbu,Zzz.,14504,[],41,2023-03-29
34,1AiAQF07CLQmJq1oyc6gce,2jbd7OqeJJd1hz81vOXwwW,binki,86334,['modern indie pop'],53,2023-03-29
36,1G2tlG3tA7uBH5izFZpaGX,2wY79sveU1sp5g7SokKOiI,Sam Smith,22155287,"['pop', 'uk pop']",88,2023-03-29
37,1G2tlG3tA7uBH5izFZpaGX,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,877709,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'transpop']",81,2023-03-29
38,1G2tlG3tA7uBH5izFZpaGX,7I95CM75shzCjHuTzrepjM,Nova Twins,104923,"['black punk', 'uk diy punk']",55,2023-03-29
42,1Jb8fejyUddXtl2JKAEFmQ,1qpR5mURxk3d8f6mww6uKT,Shura,231295,"['art pop', 'electropop', 'indie poptimism', 'vapor soul']",49,2023-03-29
44,1KjTMIDPS9bhCa4VF1odYH,1QtALu1sicFWJUIkm4fABw,Here It Is,5199,[],48,2023-03-29
