,year,AudioFeature,Value
0,1900,acousticness,0.918
1,1900,danceability,0.5208571428571428
2,1900,duration_ms,244516.2857142857
3,1900,energy,0.2566985714285714
4,1900,instrumentalness,0.1442466142857143
5,1900,key,2.0
6,1900,liveness,0.15071428571428575
7,1900,loudness,-14.41457142857143
8,1900,mode,0.5714285714285714
9,1900,speechiness,0.0378
10,1900,tempo,102.5752857142857
11,1900,time_signature,4.0
12,1900,valence,0.6394285714285713
13,1908,acousticness,0.314
14,1908,danceability,0.5700000000000001
15,1908,duration_ms,269400.0
16,1908,energy,0.41000000000000003
17,1908,instrumentalness,0.001017
18,1908,key,4.5
19,1908,liveness,0.11549999999999999
20,1908,loudness,-15.3585
21,1908,mode,1.0
22,1908,speechiness,0.05625
23,1908,tempo,90.1515
24,1908,time_signature,2.5
25,1908,valence,0.6779999999999999
26,1909,acousticness,0.792
27,1909,danceability,0.356
28,1909,duration_ms,187573.0
29,1909,energy,0.263
30,1909,instrumentalness,0.00612
31,1909,key,5.0
32,1909,liveness,0.178
33,1909,loudness,-8.239
34,1909,mode,1.0
35,1909,speechiness,0.0308
36,1909,tempo,73.827
37,1909,time_signature,4.0
38,1909,valence,0.374
39,1920,acousticness,0.993
40,1920,danceability,0.53
41,1920,duration_ms,186580.0
42,1920,energy,0.248
43,1920,instrumentalness,0.006261
44,1920,key,4.5
45,1920,liveness,0.41700000000000004
46,1920,loudness,-10.689499999999999
47,1920,mode,0.5
48,1920,speechiness,0.06495000000000001
49,1920,tempo,126.10900000000001
50,1920,time_signature,4.0
51,1920,valence,0.535
52,1923,acousticness,0.996
53,1923,danceability,0.614
54,1923,duration_ms,177133.0
55,1923,energy,0.0423
56,1923,instrumentalness,0.00293
57,1923,key,4.0
58,1923,liveness,0.183
59,1923,loudness,-12.033
60,1923,mode,1.0
61,1923,speechiness,0.0535
62,1923,tempo,89.822
63,1923,time_signature,4.0
64,1923,valence,0.211
65,1924,acousticness,0.9951666666666666
66,1924,danceability,0.4763333333333333
67,1924,duration_ms,178524.16666666666
68,1924,energy,0.21566666666666667
69,1924,instrumentalness,0.6536666666666667
70,1924,key,6.333333333333333
71,1924,liveness,0.1855
72,1924,loudness,-13.065166666666665
73,1924,mode,0.8333333333333334
74,1924,speechiness,0.04711666666666667
75,1924,tempo,84.80383333333333
76,1924,time_signature,4.0
77,1924,valence,0.39566666666666667
78,1926,acousticness,0.9245000000000001
79,1926,danceability,0.64275
80,1926,duration_ms,187943.25
81,1926,energy,0.2445
82,1926,instrumentalness,0.21287702499999997
83,1926,key,4.5
84,1926,liveness,0.286
85,1926,loudness,-13.1145
86,1926,mode,0.5
87,1926,speechiness,0.06165000000000001
88,1926,tempo,111.12299999999999
89,1926,time_signature,4.0
90,1926,valence,0.61225
91,1927,acousticness,0.988
92,1927,danceability,0.6134999999999999
93,1927,duration_ms,190593.0
94,1927,energy,0.127
95,1927,instrumentalness,0.00276655
96,1927,key,5.5
97,1927,liveness,0.1365
98,1927,loudness,-15.253
99,1927,mode,1.0
100,1927,speechiness,0.0461
101,1927,tempo,117.5765
102,1927,time_signature,4.0
