year,AudioFeature,year,AudioFeature,average value
1900,acousticness,1900,acousticness,0.918
1900,danceability,1900,danceability,0.5208571428571428
1900,duration_ms,1900,duration_ms,244516.2857142857
1900,energy,1900,energy,0.2566985714285714
1900,instrumentalness,1900,instrumentalness,0.1442466142857143
1900,key,1900,key,2.0
1900,liveness,1900,liveness,0.15071428571428575
1900,loudness,1900,loudness,-14.41457142857143
1900,mode,1900,mode,0.5714285714285714
1900,speechiness,1900,speechiness,0.0378
1900,tempo,1900,tempo,102.5752857142857
1900,time_signature,1900,time_signature,4.0
1900,valence,1900,valence,0.6394285714285713
1908,acousticness,1908,acousticness,0.314
1908,danceability,1908,danceability,0.5700000000000001
1908,duration_ms,1908,duration_ms,269400.0
1908,energy,1908,energy,0.41000000000000003
1908,instrumentalness,1908,instrumentalness,0.001017
1908,key,1908,key,4.5
1908,liveness,1908,liveness,0.11549999999999999
1908,loudness,1908,loudness,-15.3585
1908,mode,1908,mode,1.0
1908,speechiness,1908,speechiness,0.05625
1908,tempo,1908,tempo,90.1515
1908,time_signature,1908,time_signature,2.5
1908,valence,1908,valence,0.6779999999999999
1909,acousticness,1909,acousticness,0.792
1909,danceability,1909,danceability,0.356
1909,duration_ms,1909,duration_ms,187573.0
1909,energy,1909,energy,0.263
1909,instrumentalness,1909,instrumentalness,0.00612
1909,key,1909,key,5.0
1909,liveness,1909,liveness,0.178
1909,loudness,1909,loudness,-8.239
1909,mode,1909,mode,1.0
1909,speechiness,1909,speechiness,0.0308
1909,tempo,1909,tempo,73.827
1909,time_signature,1909,time_signature,4.0
1909,valence,1909,valence,0.374
1920,acousticness,1920,acousticness,0.993
1920,danceability,1920,danceability,0.53
1920,duration_ms,1920,duration_ms,186580.0
1920,energy,1920,energy,0.248
1920,instrumentalness,1920,instrumentalness,0.006261
1920,key,1920,key,4.5
1920,liveness,1920,liveness,0.41700000000000004
1920,loudness,1920,loudness,-10.689499999999999
1920,mode,1920,mode,0.5
1920,speechiness,1920,speechiness,0.06495000000000001
1920,tempo,1920,tempo,126.10900000000001
1920,time_signature,1920,time_signature,4.0
1920,valence,1920,valence,0.535
1923,acousticness,1923,acousticness,0.996
1923,danceability,1923,danceability,0.614
1923,duration_ms,1923,duration_ms,177133.0
1923,energy,1923,energy,0.0423
1923,instrumentalness,1923,instrumentalness,0.00293
1923,key,1923,key,4.0
1923,liveness,1923,liveness,0.183
1923,loudness,1923,loudness,-12.033
1923,mode,1923,mode,1.0
1923,speechiness,1923,speechiness,0.0535
1923,tempo,1923,tempo,89.822
1923,time_signature,1923,time_signature,4.0
1923,valence,1923,valence,0.211
1924,acousticness,1924,acousticness,0.9951666666666666
1924,danceability,1924,danceability,0.4763333333333333
1924,duration_ms,1924,duration_ms,178524.16666666666
1924,energy,1924,energy,0.21566666666666667
1924,instrumentalness,1924,instrumentalness,0.6536666666666667
1924,key,1924,key,6.333333333333333
1924,liveness,1924,liveness,0.1855
1924,loudness,1924,loudness,-13.065166666666665
1924,mode,1924,mode,0.8333333333333334
1924,speechiness,1924,speechiness,0.04711666666666667
1924,tempo,1924,tempo,84.80383333333333
1924,time_signature,1924,time_signature,4.0
1924,valence,1924,valence,0.39566666666666667
1926,acousticness,1926,acousticness,0.9245000000000001
1926,danceability,1926,danceability,0.64275
1926,duration_ms,1926,duration_ms,187943.25
1926,energy,1926,energy,0.2445
1926,instrumentalness,1926,instrumentalness,0.21287702499999997
1926,key,1926,key,4.5
1926,liveness,1926,liveness,0.286
1926,loudness,1926,loudness,-13.1145
1926,mode,1926,mode,0.5
1926,speechiness,1926,speechiness,0.06165000000000001
1926,tempo,1926,tempo,111.12299999999999
1926,time_signature,1926,time_signature,4.0
1926,valence,1926,valence,0.61225
1927,acousticness,1927,acousticness,0.988
1927,danceability,1927,danceability,0.6134999999999999
1927,duration_ms,1927,duration_ms,190593.0
1927,energy,1927,energy,0.127
1927,instrumentalness,1927,instrumentalness,0.00276655
1927,key,1927,key,5.5
1927,liveness,1927,liveness,0.1365
1927,loudness,1927,loudness,-15.253
1927,mode,1927,mode,1.0
1927,speechiness,1927,speechiness,0.0461
1927,tempo,1927,tempo,117.5765
1927,time_signature,1927,time_signature,4.0
1927,valence,1927,valence,0.5035000000000001
1928,acousticness,1928,acousticness,0.9602222222222222
1928,danceability,1928,danceability,0.5862222222222222
1928,duration_ms,1928,duration_ms,185529.22222222222
1928,energy,1928,energy,0.23406666666666665
1928,instrumentalness,1928,instrumentalness,0.22575385555555558
1928,key,1928,key,6.777777777777778
1928,liveness,1928,liveness,0.15121111111111113
1928,loudness,1928,loudness,-14.147333333333332
1928,mode,1928,mode,1.0
1928,speechiness,1928,speechiness,0.0544
1928,tempo,1928,tempo,118.14988888888888
1928,time_signature,1928,time_signature,3.5555555555555554
1928,valence,1928,valence,0.57
1929,acousticness,1929,acousticness,0.8169999999999998
1929,danceability,1929,danceability,0.6766666666666667
1929,duration_ms,1929,duration_ms,193385.33333333334
1929,energy,1929,energy,0.30833333333333335
1929,instrumentalness,1929,instrumentalness,0.0803
1929,key,1929,key,4.666666666666667
1929,liveness,1929,liveness,0.18666666666666668
1929,loudness,1929,loudness,-13.037666666666667
1929,mode,1929,mode,0.3333333333333333
1929,speechiness,1929,speechiness,0.04886666666666667
1929,tempo,1929,tempo,94.61900000000001
1929,time_signature,1929,time_signature,4.0
1929,valence,1929,valence,0.6
1930,acousticness,1930,acousticness,0.979
1930,danceability,1930,danceability,0.586
1930,duration_ms,1930,duration_ms,180093.0
1930,energy,1930,energy,0.283
1930,instrumentalness,1930,instrumentalness,0.0476
1930,key,1930,key,5.0
1930,liveness,1930,liveness,0.0994
1930,loudness,1930,loudness,-10.568
1930,mode,1930,mode,1.0
1930,speechiness,1930,speechiness,0.0517
1930,tempo,1930,tempo,145.514
1930,time_signature,1930,time_signature,4.0
1930,valence,1930,valence,0.439
1931,acousticness,1931,acousticness,0.916
1931,danceability,1931,danceability,0.565
1931,duration_ms,1931,duration_ms,162467.0
1931,energy,1931,energy,0.295
1931,instrumentalness,1931,instrumentalness,0.552
1931,key,1931,key,0.0
1931,liveness,1931,liveness,0.176
1931,loudness,1931,loudness,-11.088
1931,mode,1931,mode,1.0
1931,speechiness,1931,speechiness,0.0392
1931,tempo,1931,tempo,98.003
1931,time_signature,1931,time_signature,4.0
1931,valence,1931,valence,0.657
1932,acousticness,1932,acousticness,0.977
1932,danceability,1932,danceability,0.623
1932,duration_ms,1932,duration_ms,191124.0
1932,energy,1932,energy,0.26
1932,instrumentalness,1932,instrumentalness,0.236
1932,key,1932,key,6.0
1932,liveness,1932,liveness,0.124
1932,loudness,1932,loudness,-12.084
1932,mode,1932,mode,0.0
1932,speechiness,1932,speechiness,0.0534
1932,tempo,1932,tempo,102.395
1932,time_signature,1932,time_signature,4.0
1932,valence,1932,valence,0.595
1933,acousticness,1933,acousticness,0.9744999999999999
1933,danceability,1933,danceability,0.5081666666666668
1933,duration_ms,1933,duration_ms,183922.16666666666
1933,energy,1933,energy,0.24373333333333333
1933,instrumentalness,1933,instrumentalness,0.29583570666666664
1933,key,1933,key,4.666666666666667
1933,liveness,1933,liveness,0.15033333333333335
1933,loudness,1933,loudness,-12.763166666666669
1933,mode,1933,mode,0.16666666666666666
1933,speechiness,1933,speechiness,0.03965
1933,tempo,1933,tempo,114.70533333333334
1933,time_signature,1933,time_signature,4.166666666666667
1933,valence,1933,valence,0.5113333333333333
1935,acousticness,1935,acousticness,0.9012
1935,danceability,1935,danceability,0.6923999999999999
1935,duration_ms,1935,duration_ms,180842.8
1935,energy,1935,energy,0.47940000000000005
1935,instrumentalness,1935,instrumentalness,0.120092
1935,key,1935,key,8.4
1935,liveness,1935,liveness,0.21136
1935,loudness,1935,loudness,-9.4744
1935,mode,1935,mode,0.8
1935,speechiness,1935,speechiness,0.1619
1935,tempo,1935,tempo,122.3854
1935,time_signature,1935,time_signature,4.0
1935,valence,1935,valence,0.7163999999999999
1936,acousticness,1936,acousticness,0.98
1936,danceability,1936,danceability,0.691
1936,duration_ms,1936,duration_ms,176627.0
1936,energy,1936,energy,0.0958
1936,instrumentalness,1936,instrumentalness,1.61e-05
1936,key,1936,key,1.0
1936,liveness,1936,liveness,0.0931
1936,loudness,1936,loudness,-13.9
1936,mode,1936,mode,0.0
1936,speechiness,1936,speechiness,0.143
1936,tempo,1936,tempo,101.574
1936,time_signature,1936,time_signature,4.0
1936,valence,1936,valence,0.519
1937,acousticness,1937,acousticness,0.9597777777777777
1937,danceability,1937,danceability,0.5755555555555555
1937,duration_ms,1937,duration_ms,169321.44444444444
1937,energy,1937,energy,0.41603333333333337
1937,instrumentalness,1937,instrumentalness,0.4803584855555555
1937,key,1937,key,5.777777777777778
1937,liveness,1937,liveness,0.16378888888888887
1937,loudness,1937,loudness,-13.404777777777781
1937,mode,1937,mode,0.6666666666666666
1937,speechiness,1937,speechiness,0.060222222222222226
1937,tempo,1937,tempo,119.95466666666668
1937,time_signature,1937,time_signature,3.888888888888889
1937,valence,1937,valence,0.7047777777777777
1939,acousticness,1939,acousticness,0.824
1939,danceability,1939,danceability,0.463
1939,duration_ms,1939,duration_ms,209573.0
1939,energy,1939,energy,0.654
1939,instrumentalness,1939,instrumentalness,0.917
1939,key,1939,key,8.0
1939,liveness,1939,liveness,0.372
1939,loudness,1939,loudness,-9.72
1939,mode,1939,mode,1.0
1939,speechiness,1939,speechiness,0.0659
1939,tempo,1939,tempo,175.204
1939,time_signature,1939,time_signature,4.0
1939,valence,1939,valence,0.592
1940,acousticness,1940,acousticness,0.992
1940,danceability,1940,danceability,0.685
1940,duration_ms,1940,duration_ms,186667.0
1940,energy,1940,energy,0.3
1940,instrumentalness,1940,instrumentalness,0.117
1940,key,1940,key,0.0
1940,liveness,1940,liveness,0.224
1940,loudness,1940,loudness,-10.484
1940,mode,1940,mode,0.0
1940,speechiness,1940,speechiness,0.0617
1940,tempo,1940,tempo,112.353
1940,time_signature,1940,time_signature,4.0
1940,valence,1940,valence,0.746
1941,acousticness,1941,acousticness,0.602
1941,danceability,1941,danceability,0.662
1941,duration_ms,1941,duration_ms,144613.0
1941,energy,1941,energy,0.172
1941,instrumentalness,1941,instrumentalness,0.0
1941,key,1941,key,10.0
1941,liveness,1941,liveness,0.115
1941,loudness,1941,loudness,-16.877
1941,mode,1941,mode,1.0
1941,speechiness,1941,speechiness,0.0675
1941,tempo,1941,tempo,92.821
1941,time_signature,1941,time_signature,4.0
1941,valence,1941,valence,0.755
1944,acousticness,1944,acousticness,0.977
1944,danceability,1944,danceability,0.454
1944,duration_ms,1944,duration_ms,176362.0
1944,energy,1944,energy,0.326
1944,instrumentalness,1944,instrumentalness,0.173
1944,key,1944,key,10.0
1944,liveness,1944,liveness,0.176
1944,loudness,1944,loudness,-10.768
1944,mode,1944,mode,1.0
1944,speechiness,1944,speechiness,0.0446
1944,tempo,1944,tempo,74.47
1944,time_signature,1944,time_signature,4.0
1944,valence,1944,valence,0.422
1945,acousticness,1945,acousticness,0.9225
1945,danceability,1945,danceability,0.6875
