title,date_formatted,url
Ransom,2019-09-13,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
Io e lei,2019-05-28,https://open.spotify.com/track/0a1LpYLrp1VNwEekoqFJx5
VOICE,2019-05-28,https://open.spotify.com/track/1esVK0wgkpFJ31eHvHZ7M9
Siren Song,2019-05-28,https://open.spotify.com/track/1RgSs1Jy3QHiacsnMxAAL2
ICY,2019-07-30,https://open.spotify.com/track/7zFBtYAVURF3bUVqEQ6UUu
Violeta,2019-01-01,https://open.spotify.com/track/44ZRUhwJopErgSsvJ8iH7I
Leña para el Carbón,2019-01-01,https://open.spotify.com/track/5lcL51XmmTrQy09H85wIJZ
Sin Culpa (feat. DrefQuila),2019-01-01,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS
Mala Mía - Remix,2019-01-01,https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb
Callao,2019-01-01,https://open.spotify.com/track/3gu0fRSgFuc4FmrtIv0DnC
A Solas - Remix,2019-01-01,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
Dímelo,2019-01-01,https://open.spotify.com/track/68NhevkESo24f9nTL8fDFP
Árabe - Remix,2019-01-01,https://open.spotify.com/track/3M2cSpHsIk0xUvTsWbkM1q
Adicto A Ti,2019-01-01,https://open.spotify.com/track/0Ldh6OMRNPUAkDazVwnKWP
Te Vas a Arrepentir,2019-01-01,https://open.spotify.com/track/5Rb1YFwlxt1AgMaqbOpZzf
Cuando me Enamoro,2019-01-01,https://open.spotify.com/track/0cAPaxRoHX5DPpdV8MQcS8
Ta To Gucci (Remix),2019-01-01,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
Hitazos: Amores Como el Nuestro / Que Fue / Algún día / Tu Amor Me Quema / Arrepiéntete / Tarjetita de Invitación / Empujaito / Si Tu Te Vas / El Aguacero / Tu Juguete / Mujer Que Mal Me Pagas...,2019-01-01,https://open.spotify.com/track/2ZixSR7OKIpdPUk4dwOekn
Iluminará,2019-01-01,https://open.spotify.com/track/76BnEV7y0FIyDodcCt9sxC
La Cabaña,2019-01-01,https://open.spotify.com/track/2cTKuxpHcPzDFRbbhE2WxP
El Baile de las Egresadas,2019-01-01,https://open.spotify.com/track/1IlbkW24QMlXRs5GF15FMM
LeBron,2019-01-01,https://open.spotify.com/track/0mAkTqg7vQ8YmpQ7o1I6gR
Tramposa Y Mentirosa,2019-01-01,https://open.spotify.com/track/6KzeUBu1BE8q24CblG6oku
Pla Cacha Pla - Remix,2019-01-01,https://open.spotify.com/track/4VhLKoBrfuxHbBOi5Xi26D
