,id,name,available_markets,total_tracks,genres,popularity
0,6bUxh58rYTL67FS8dyTKMN,El Dorado,184,13,[],76
1,1FkaJUwfqLdQdSmRPBlw6l,Vente Pa' Ca (feat. Maluma),184,1,[],65
2,0YLrAWUbY0nyM7PFtqnYld,Primera Cita,183,14,[],69
3,2LYwooMTH1iJeBvWyXXWUf,Energía,0,15,[],0
4,2zrLk90b4qjmrxRZKyIY7X,Shaky Shaky,0,1,[],0
5,1TnP5HDR6fxVZBIGZq6DgO,Traicionera,0,1,[],0
6,2PnTfdBKqkOYtazDgtClqX,Cuando Se Pone a Bailar,184,1,[],50
7,22lEQJ7khtB2yvsq84FDQb,Motivan2,112,18,[],68
8,6bUxh58rYTL67FS8dyTKMN,El Dorado,184,13,[],76
9,2lVfMtUwFK2bM3HNEyaNax,Dile Que Tu Me Quieres,0,1,[],0
10,5Ai3DmyYkShDJ5OdvjqT5a,Andas En Mi Cabeza,0,1,[],0
11,4hQcPgUoOykA7IzS6av6ox,Latina,184,13,[],59
12,3PomvFR694SrCSZzDWMWV7,"Pretty Boy, Dirty Boy",184,16,[],74
13,39agL2qpWxSsgfeNuXqJ2N,Gyal You A Party Animal (Remix),0,1,[],0
14,2mqj8lMnZRYR5hapcNVpRq,Me Llamas (feat. Maluma) [Remix],184,1,[],62
15,16GOQxU7ShCeAeq8e5PplO,La Bicicleta (feat. Maluma) [Remix],184,1,[],43
16,5Ouuxga807CPAs81lSloBJ,DUELE EL CORAZON (feat. Wisin),183,1,[],60
17,55bbXORm6ZrVq52zfZnxBf,Encore,0,14,[],0
18,0u1mCu9Ka7zyTx2lWbyntW,La Noche No Es para Dormir - Single,0,1,[],0
19,6k0mxvr3REgMTOT08V7mFj,Vacaciones,0,1,[],0
20,3meZFplbMmji648oWUNEfQ,Rockabye (feat. Sean Paul & Anne-Marie),184,1,[],67
21,68mjWwD3sLh4wONFIb2Upq,Carnavalintro,0,1,[],0
22,3kXkPZnrmBHzUDkhzecE7O,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",0,1,[],0
23,3hARKC8cinq3mZLLAEaBh9,Views,0,20,[],5
24,0dzeoQhVNzKkwM5ieOJC54,My Way,184,1,[],70
25,3o99825qhG7K7D07naRs4F,Cold Water (feat. Justin Bieber & MØ),0,1,[],0
26,2HXRjHb2nbLJa5r70FBtdT,Visualízate,184,13,[],68
27,7rTpfdX5EFZWlWxMyeAhKY,Llamame Mas Temprano / Hicimos un Pacto - Single,0,2,[],0
28,09fggMHib4YkOtwQNXEBII,Starboy,0,18,[],0
29,4hpTOaNxI9LP5YHMojlb5t,Blanco Perla,0,15,[],2
30,0bXEsNAuMFPap5TjtUzvK8,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",184,1,[],63
31,0fvTn3WXF39kQs9i3bnNpP,Don't Wanna Know,0,1,[],0
32,22A8k0p076LRqh4mQHXEnE,Sin Contrato (feat. Don Omar & Wisin) [Remix],184,1,[],38
33,4PgleR09JVnm3zY1fW3XBA,24K Magic,184,9,[],82
34,40LbnfieVTWtHrK24WQeEB,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",183,1,[],71
35,3nZrIskMQdaS5KWw45PIjd,Mis Planes Son Amarte,184,12,[],57
36,2LYwooMTH1iJeBvWyXXWUf,Energía,0,15,[],0
37,75kX486cBBkuaLkZGjBptl,The Martin Garrix Collection,1,15,[],17
38,0VouajoL0QOEBUGYaPThOU,Tu Ritmo,184,9,[],27
39,3teu4biw5zhcN7QgjmKzGS,"At Night, Alone.",0,18,[],0
40,6Tap30zqzXj22sVKoy1GUj,Des/Amor,184,11,[],71
41,2WzuUq2PAROPZrsI0QFh29,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],0,1,[],0
42,4YV0amQ85n4nCeSYyqW6Rz,King Of Kings 10th Anniversary (Remastered),0,19,[],0
43,1F4fjB7jFQKKvQzXVvU4f4,Sin Contrato (feat. Fifth Harmony),184,1,[],49
44,5Y0jPLZZEf179dwwq4iEmN,Picky Back To The Roots,184,13,[],59
45,2JNVoEx4psIgNQyEExwQVn,ANTI (Deluxe),0,16,[],0
46,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
47,3ShQFl9FladFKlonwPGZFc,The Chainsmokers- Japan Special Edition,1,7,[],38
48,2dBgWXp41imu2zBNv9oFxZ,Fénix,183,26,[],75
49,45J24eNEQUEY3GNo44xgkw,De Bailadeta,184,10,[],52
50,7K89F9bgY1jks0uIlMerm3,DNCE,0,14,[],0
51,1zFp5Q3Dgo8wmKsmfZ23QX,Visionary,184,14,[],65
52,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
53,4UuOdCwVCeCJ15QMLDxugX,Te Vas,0,1,[],0
54,0rSLgV8p5FzfnqlEk4GzxE,Closer,184,1,[],77
55,5QcyFFfTjCqvhVUO9Dl8pf,De Fiesta,184,7,[],60
56,6FLZDJq4UuwqcaQlI4XCP1,Illuminate,0,18,[],0
57,7ckMlm5rjlkfnZXMhrovpO,Era Tranquila,184,1,[],46
58,7yF3GHp1G6hH2IUW6FEp3n,Baila,184,1,[],33
59,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
60,2mDUQf0t9BfK4niWwr3Mdx,Sigo Por El Objetivo,181,19,[],59
61,3PomvFR694SrCSZzDWMWV7,"Pretty Boy, Dirty Boy",184,16,[],74
62,2qhGgR8LZ3Z9B1OMuOtxmp,Traicionera (Remix),0,1,[],0
63,5QcyFFfTjCqvhVUO9Dl8pf,De Fiesta,184,7,[],60
64,09WdxV5i6Ko62nK9r5gALI,El Perdedor (feat. Yandel) [The Remix],184,1,[],37
65,5u9w3PGTEyH9t7S62oIPhw,Lo Intentamos,184,1,[],42
66,3cz9fxBXppuImbufikGk2D,#Tocoparavos,184,11,[],51
67,2RFmwlATPy1lvg5WrAwm8A,Comerte a Besos,0,1,[],0
68,375cUd86z58eqXN2yW3Do9,A Quien Quiera Escuchar (Deluxe Edition),183,13,[],64
69,2LYwooMTH1iJeBvWyXXWUf,Energía,0,15,[],0
70,4pZbAcipxqdFcwjiFkuwes,Call On Me (Remixes),2,8,[],38
71,2dBgWXp41imu2zBNv9oFxZ,Fénix,183,26,[],75
72,1P2btVGfdXQYnOrZKCglpN,Pasarla Bien,184,1,[],38
73,7f1X8Ks2QxRFtAvOPYK14E,No Llores Mas,0,5,[],0
74,1o9FV0S0KY1kqmYsacy4j8,Would I Lie to You,184,4,[],54
75,4AdZV63ycxFLF6Hcol0QnB,Starboy,184,18,[],86
76,6w1DnZpr9NFdjd0w3kxRno,Quiero Que Sepas,0,7,[],0
77,1g4pk2xu9KBJXTdtOwaO4C,Una Cerveza,184,10,[],62
78,0MB7Wln3Ojj44qEBJIeS2u,Me Ama Me Odia,0,1,[],0
79,6NomK9f7zRLOuScvAyI1XX,Just Hold On,165,1,[],54
80,4lVR2fg3DAUQpGVJ6DciHW,Dangerous Woman,0,15,[],0
81,3ji48bhsJZh2N2hWFjsVcM,Revolucionario,169,11,[],43
82,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
83,3vKCCBYeYS6oE1gYSNlU5L,Cheap Thrills Remix (feat. Nicky Jam),171,1,[],42
84,1q5McGPHaKrkksCbFYFzdA,Por Eso Canto para Bailar,184,13,[],39
85,77jAfTh3KH9K2reMOmTgOh,This Is Acting,166,12,[],78
86,0pF0oyuPNdOObniB1Ng0kW,7/27 (Deluxe),182,12,[],73
87,6E0p38TjcK490itZ1Ns7bD,Nine Track Mind,1,14,[],56
88,5wtK6rD6OVbGxxiQ7gzgfD,Diles,0,1,[],0
