,track_id,album_id,artists_id
0,6mICuAdrwEjh6Y6lroV2Kg,6bUxh58rYTL67FS8dyTKMN,"['0EmeFodog0BfCgMzAIvKQp', '1r4hJ1h58CWwUQe3MxPuau']"
1,7DM4BPaS7uofFul3ywMe46,1FkaJUwfqLdQdSmRPBlw6l,"['7slfeZO9LsJbWgpkIoXBUJ', '1r4hJ1h58CWwUQe3MxPuau']"
2,3AEZUABDXNtecAOSC1qTfo,0YLrAWUbY0nyM7PFtqnYld,['0eecdvMrqBftK0M1VKhaF4']
3,6rQSrBHf7HlZjtcMZ4S4bO,2LYwooMTH1iJeBvWyXXWUf,"['1vyhD5VmyZ7KMfW5gqLgo5', '2RdwBSPQiwcmiDo9kixcl8', '6veh5zbFpm31XsPdjBgPER', '51XrH5fQP2oIQynuKxSWcW']"
4,58IL315gMSTD37DOZPJ2hf,2zrLk90b4qjmrxRZKyIY7X,['4VMYDCV2IEDYJArk749S6m']
5,5J1c3M4EldCfNxXwrwt8mT,1TnP5HDR6fxVZBIGZq6DgO,['07YUOmWljBTXwIseAUd9TW']
6,1MpKZi1zTXpERKwxmOu1PH,2PnTfdBKqkOYtazDgtClqX,['5KQX0Ui06LVm6PApyicRFK']
7,3QwBODjSEzelZyVjxPOHdq,22lEQJ7khtB2yvsq84FDQb,"['21451j1KhjAiaYKflxBjr1', '1vyhD5VmyZ7KMfW5gqLgo5']"
8,0sXvAOmXgjR2QUqLK1MltU,6bUxh58rYTL67FS8dyTKMN,"['4vhNDa5ycK0ST968ek7kRr', '0EmeFodog0BfCgMzAIvKQp']"
9,20ZAJdsKB5IGbGj4ilRt2o,2lVfMtUwFK2bM3HNEyaNax,['1i8SpTcr7yvPOmcqrbnVXY']
10,5mey7CLLuFToM2P68Qu1gF,5Ai3DmyYkShDJ5OdvjqT5a,"['5NS0854TqZQVoRmJKSWtFZ', '4VMYDCV2IEDYJArk749S6m']"
11,1pWYnQIlqxTh5bxuPmTG4E,4hQcPgUoOykA7IzS6av6ox,"['23wEWD21D4TPYiJugoXmYb', '1r4hJ1h58CWwUQe3MxPuau']"
