,id,name,popularity,explicit,available_markets
0,6tHWl8ows5JOZq9Yfaqn3M,Mine,0,0,0
1,6jnDfM8vtRWgN7R4XSQpWJ,Outcast,35,1,184
2,4k9zexSmoSS6EER7F7SoPg,Skyldig,34,1,184
3,6hAKGURpSwL2tvmfjnkWGr,Enkelit,38,1,184
4,6iyp6udVpLuq3MCUulZT4h,44 More,0,0,0
5,2XW4DbS6NddZxRPm5rMCeY,God's Plan,17,0,0
6,6sIgHBjmtF5AgGa0av55Pn,Leika,0,1,0
7,7bRRHQelMfrP86QYQlCsAq,BILLY,0,0,0
8,73xYYths9kvmFvYsd9gC9Z,楓,41,1,1
9,2zJJro5CPAVwwzLQQdcBbu,Everyday,0,1,0
10,0EM85Qj3526QtxCBOQL6rT,Du,35,1,185
11,5EzitieoPnjyKHAq0gfRMa,Ko Ko Bop,62,1,185
12,3ITvHA9zhZZdBJsOsAUegF,Amorfoda,0,0,0
13,2j2fIJGh4PMdXt9ULI5Tlc,Dura,0,1,0
14,4R55IUi2x7S5ek2SpebOiE,Bella,0,1,0
15,33bnxcjePIkcmNjEFTJX0l,Déjala Que Vuelva (feat. Manuel Turizo),60,1,184
16,2Z4VK9otSeq3MxWcEgptUa,Si Te Sentis Sola,0,0,0
17,3TnhQSRwT3AVMdXw5JPq0x,Nena Maldicion (feat. Lenny Tavarez),0,1,0
18,1zsG4eaZmkA1dvjDDsAGLK,Échame La Culpa,0,1,0
19,4lESS6vuruP6a79KWRaQou,Corazón,0,1,0
20,6Za3190Sbw39BBC77WSS1C,Criminal,72,1,184
21,2rZB6indPhp8C5AZK1PpkS,Vete,0,1,0
22,5Y9fnynLlIvqtM710MHzfz,Síguelo Bailando,65,1,184
23,5hcisvFMidkMJlElTO9Qmw,Sensualidad,70,1,184
24,3Ga6eKrUFf12ouh9Yw3v2D,Downtown,70,1,184
25,2vvdTrdryjsl8DmPIMDWZU,EL BAÑO (feat. Bad Bunny),58,1,183
26,7rwX0O3RlxqqIjQM8evm5E,Solita,73,1,184
27,6jA8JUuPCGYjFcgw0AoM5T,Me Niego (feat. Ozuna & Wisin),0,1,0
28,0MIcPSq9n2z5H8TAfEstri,Quiero Repetir,63,1,184
29,7ehmaSwhEZv4aaJzxsVMGY,She Don't Give a FO (feat. Khea),0,1,0
30,1m69ELEgE6k5ZWsap40ozt,Se Preparó,74,1,184
31,2EzRdhuoPyNJDlep7lnNf2,Dembow,68,1,184
32,6kOHug1s9Nd5gsHrX8irs2,Mi Mala - Remix,0,1,0
33,5ojXuKXBYq0apcNucYSDXq,Mamita,0,1,0
34,5TysCiZtv1HnSWcTcUFusI,Suena El Dembow,0,1,0
35,7ofxPmTNMj2GP07g1VZa0O,Que Va,0,1,0
36,3VClLWqNn80Llv0PJOsKgr,Báilame - Remix,0,1,0
37,4mA3n4YlK7wmfXvXzCJx0R,Apaga el Celular,0,0,0
38,7JNh1cfm0eXjqFVOzKLyau,Mayores,61,1,184
39,6MNGxu8MprKGkchUchkJsy,Machika,0,1,0
40,7k09lnI8FXcEREvDps6oPJ,Si Te Lastime,0,1,0
41,1nfyE13arjOuO54HH0zmqj,Esperándote,57,1,184
42,5TmZYdHW6HJ9gt7Aokuql5,SUTRA,0,1,0
43,0ERbK7qVqveCaBWIiYCrl3,Bella y Sensual,70,1,184
44,5UjhWsB5rddZEPlNUcGDLV,Condenado Para el Millon,0,1,0
45,4zWO4gvuFtw6EJZC5FFGlr,Bum Bum Tam Tam,0,0,0
46,4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",69,1,184
47,1iidvirbvLhm05k83k4N64,Rockstar,0,0,0
48,1tkikMrqW4NvmzIfIyNXw7,Hello Cotto,0,1,0
49,3whrwq4DtvucphBPUogRuJ,Havana - Remix,59,1,184
50,2iCOdoyDmWG3hWkbtH1KB2,Amantes de una Noche,62,1,184
51,0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,72,1,184
52,3xWEI23MLJrD0dpDcDUTW6,Déjate Llevar,0,1,0
53,70lnL3QaSOIIyMa2X9aVRL,Perro Fiel (feat. Nicky Jam),68,1,184
54,7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,67,1,184
55,1KSqYYJFyfTecXFk9M0prc,Escápate Conmigo (feat. Ozuna),68,1,184
56,4N1c5rmWOzRmB9SMacr5wB,Loco Enamorado,56,1,184
57,0yyZN5ASdrYu0XYWFzfxUu,3 A.M.,66,1,184
58,0qYTZCo5Bwh1nsUFGZP3zn,Felices los 4,0,1,0
59,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),77,1,184
60,6V6SZ4JbgtGF8owOpUqOah,Rebota,0,0,0
61,49VSioK272TASR4r9vRTuP,Dime Si Te Acuerdas,0,0,0
62,1XT4N8ostsFZcZNDio0jWL,Mojaa,0,0,0
63,7uYgVgRSgqluZclLS7wpp4,El Farsante - Remix,66,1,184
64,3J4cbpVuuo8sdLWcEajRA3,Dorado,0,1,0
