id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6wuASGjSmuoGXdWsBH7X4U,0.809,0.833,3,-3.134,1,0.0295,0.112,5.97e-05,0.0951,0.643,118.943,161973,4
1oaNA9pW7LMxOVesTbuzwF,0.623,0.495,4,-6.988,0,0.206,0.685,1.33e-05,0.0877,0.17,88.088,199896,4
3V6M4KzhY9i9MYivxbZsmG,0.608,0.473,4,-7.012,0,0.347,0.681,2.79e-05,0.0982,0.207,85.693,169692,4
1ojviuT9dnSaSBp5JLgrg3,0.804,0.511,5,-5.917,1,0.262,0.594,0.000264,0.137,0.399,89.018,194208,4
2ar3bdXAIbWp4vTuYHryVV,0.786,0.592,9,-6.213,0,0.0801,0.141,2.23e-06,0.132,0.244,90.02,193488,4
24KsIgn3IsG6N5e43XQvvx,0.848,0.654,1,-6.893,1,0.248,0.255,0.0,0.0866,0.538,94.989,161736,4
1uNceGQIqxq8VR77PHy1gk,0.625,0.495,1,-8.059,1,0.0412,0.682,1.35e-05,0.107,0.211,87.219,142680,4
7dKKGLfPUPPp4YsAke8iWE,0.593,0.538,5,-8.197,1,0.0945,0.142,0.0,0.241,0.458,82.926,174624,4
7jGMzM2U1lHn3ZmFxFyizv,0.672,0.471,2,-7.664,0,0.066,0.595,0.0,0.143,0.282,75.187,155376,4
5S7WIT0rglr6IEICW9uerv,0.798,0.489,5,-9.368,1,0.104,0.354,6.88e-06,0.125,0.732,152.028,184848,4
6Q1Gahj6pvWaAYLvJ7Vuq5,0.763,0.514,5,-6.956,0,0.142,0.195,0.0,0.103,0.181,178.045,171000,4
2Jdcex9fUlEa22xXWWziBA,0.596,0.343,3,-10.6,0,0.0522,0.491,7.79e-05,0.0768,0.137,130.018,230496,4
6fN0QjZLHZmX1OqcrYBBwE,0.848,0.426,11,-11.33,0,0.258,0.08,0.00208,0.0751,0.351,152.07,139008,4
4j46Ri1jXwnY8IYr21F2gk,0.751,0.492,0,-10.485,0,0.0505,0.678,0.00783,0.103,0.67,124.095,171264,5
67ZjYCjGCK5jMXTW7GhGRY,0.466,0.409,0,-6.049,0,0.0904,0.814,0.0,0.162,0.387,95.501,200088,4
1r2EL2FvEnyOPjoMf6AHYX,0.746,0.797,0,-8.423,1,0.241,0.108,0.00016,0.0919,0.34,160.919,122112,4
4VGvaHir2FQ4WMKn3GS9AS,0.459,0.36,4,-11.431,0,0.0412,0.889,2.76e-05,0.132,0.205,143.705,231587,4
2dyHXh5dfquUdH2ci30ZSI,0.433,0.514,11,-6.865,1,0.0292,0.67,0.0,0.128,0.226,133.938,262000,4
7wOIdJkbhLcmA0vniQiVVJ,0.204,0.452,0,-9.784,1,0.0355,0.867,0.0934,0.111,0.362,77.708,264320,4
61gNWcpFdezb20Oc4uMrr6,0.679,0.42,7,-7.795,1,0.0912,0.711,0.00602,0.296,0.534,125.76,182857,3
0V1IeCSY8h2Ym2bdnmpvWJ,0.607,0.552,9,-8.134,1,0.0638,0.73,0.000175,0.253,0.459,86.566,139463,4
3jlXKc2h4RLn8SeAj3ANsJ,0.62,0.541,9,-6.58,1,0.249,0.156,0.00588,0.122,0.461,185.877,132460,4
29jgbCpIl9ZErMohP7s4Wc,0.811,0.558,5,-6.494,1,0.0874,0.191,1.28e-05,0.0949,0.753,124.94,196701,4
1BAi9pmRfwjGGWrv7GuRcP,0.476,0.229,0,-10.468,1,0.0645,0.895,0.0,0.327,0.377,94.281,117918,3
75YBkVdPNyqa1gLCK9SZaK,0.716,0.559,7,-5.773,1,0.0541,0.26,0.000356,0.0961,0.683,132.102,161091,4
6DcI73tbK4PoyI3GGV4zZS,0.601,0.876,8,-2.75,1,0.0661,0.141,0.000919,0.13,0.622,129.996,179006,4
7AVdpXp5UBIu4DAwr67n8O,0.518,0.392,7,-15.806,1,0.372,0.741,0.0,0.115,0.562,89.433,56795,4
3Pu4rERC1tWGgghSkaA9ag,0.361,0.352,8,-8.479,1,0.0353,0.892,0.00133,0.107,0.0848,135.851,259479,4
17wRNRiO8LZLP79mf8Fri7,0.655,0.617,11,-5.466,0,0.268,0.422,0.011,0.247,0.665,171.952,168147,4
7wCFToKO63HYn4oP6xZMHh,0.658,0.739,6,-5.539,1,0.0685,0.257,5.01e-05,0.278,0.768,154.791,139509,4
63MO36Xj1v0BpjAKj7CJMi,0.633,0.434,11,-8.022,1,0.0752,0.507,0.000122,0.195,0.209,136.028,139344,3
7vLdUdtQinRrLEZdmocQLS,0.3,0.369,6,-9.307,1,0.0411,0.549,0.184,0.505,0.132,85.189,278760,5
0FFFiX7StlRc865CB01DRQ,0.369,0.141,7,-11.234,1,0.0348,0.87,0.0,0.117,0.146,74.75,207933,5
5cZ0q2VQzkP0DRuNeyJzB4,0.552,0.345,7,-8.555,1,0.0252,0.663,3.48e-05,0.117,0.179,72.268,234733,4
3Da2Ry7cG9zr9GoBFK9eqr,0.609,0.446,9,-7.208,1,0.0295,0.0101,0.00168,0.085,0.263,118.075,241173,4
0yM2YvOGR3cBIoWBeFdtmS,0.674,0.924,0,-4.943,0,0.102,0.0143,6.09e-06,0.216,0.811,123.04,240053,4
1MgZanqS8NgAnZURlCx9hF,0.576,0.825,4,-6.742,1,0.047,0.0707,0.259,0.337,0.311,133.977,234053,4
0ws8eQLYkwVWWw6oizEtmy,0.472,0.487,7,-12.763,1,0.0384,0.0829,0.642,0.255,0.338,199.998,245934,4
14SxswD27m3d4Zn7w90P1K,0.524,0.335,6,-9.957,0,0.0289,0.986,0.966,0.11,0.0905,94.982,142956,4
5T6MaD8kh2Sj5nUEM4DZXE,0.61,0.441,5,-6.001,0,0.109,0.0137,6.89e-05,0.117,0.512,183.736,189099,4
1fNZdF4ZkMmXKIzirsWZi0,0.779,0.608,2,-8.524,0,0.0283,0.0205,0.00221,0.126,0.443,103.033,173432,4
6WSlb2JFC7RiP7DPsiAr3s,0.764,0.463,8,-11.977,1,0.0706,0.315,0.81,0.111,0.77,92.042,169600,4
39RJfDkli3BkEsW6LN4DrZ,0.774,0.613,11,-8.713,0,0.0606,0.147,0.00757,0.111,0.344,95.011,176842,4
40Ii9mlwyn3bFs3jW268Lr,0.301,0.307,5,-10.003,1,0.0455,0.889,0.059,0.117,0.243,134.195,159776,3
0TuuzZDwssPfVQvgubXsYV,0.728,0.636,8,-8.551,0,0.0462,0.00841,0.712,0.291,0.604,90.3,164693,4
008l1VIMJ02yUUyTNSxnyx,0.779,0.729,10,-9.938,0,0.0444,0.15,0.883,0.117,0.735,95.029,172715,4
2YEcRgMD9fBvQGXhjoZZCH,0.608,0.285,4,-9.738,1,0.0307,0.398,5.78e-06,0.0951,0.0864,92.981,152894,4
3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,4
1VtuJxH7jkcOWlcGdQdMRh,0.683,0.941,7,-3.996,1,0.0305,0.000219,0.00508,0.036,0.161,127.987,198509,4
3eClq9oJiACXJZuCsErmWr,0.655,0.604,10,-7.056,0,0.128,0.0225,0.0877,0.11,0.327,121.95,155410,4
6pXgWCfqkaYY7XsCs5JfOH,0.717,0.637,7,-6.641,1,0.0559,0.00121,0.0,0.0922,0.548,146.998,197238,4
4ofGcbHRWhIsrYJswteQkU,0.633,0.733,11,-4.676,0,0.159,0.254,0.0,0.348,0.645,127.898,179306,4
3SQxzzu41bjlCGGDCb83JY,0.334,0.156,9,-13.677,1,0.0365,0.922,3.56e-05,0.118,0.0894,84.629,164587,4
66yvX4stoMKIiTcZeDJGpt,0.447,0.16,0,-13.145,1,0.037,0.88,0.0,0.111,0.229,131.932,317107,4
0eezrc1XfAfhceVFRXdiY4,0.827,0.618,4,-6.238,0,0.0902,0.0837,0.000323,0.352,0.404,132.008,162892,4
1pcrhZd9IM3bS9paToqrd5,0.22,0.0464,0,-20.508,1,0.0381,0.913,0.451,0.0676,0.0313,68.211,55739,4
4OMhhmQM3y3XC8ux64nFna,0.49,0.567,7,-10.187,1,0.0283,0.143,0.049,0.116,0.234,101.899,244773,4
6yKSbasXlkDEdrGzkyVqI9,0.73,0.564,8,-8.788,1,0.0281,0.179,0.842,0.0725,0.747,100.017,267995,4
4PXkfv5sg0qAvW7ImFOglp,0.549,0.623,11,-9.492,0,0.0408,0.0565,0.306,0.0731,0.626,157.994,231717,4
6AsRcm38TLSwLVFGBiKg14,0.326,0.435,9,-10.332,0,0.0372,0.504,0.0742,0.0741,0.115,83.219,325511,4
7KtGqsj8TkP3WKgtVJraJW,0.572,0.768,1,-8.547,1,0.0303,0.00059,0.619,0.341,0.373,120.058,274338,4
7d1nafgOpdtm1H68CJeN56,0.63,0.559,9,-11.276,0,0.0351,0.0715,0.912,0.109,0.319,120.011,245509,4
5Jd15aO2FEEVj4ylUs8mdU,0.59,0.7,4,-8.556,0,0.0328,0.178,0.502,0.0566,0.821,158.013,253038,4
1FYvYV8OmWbFtJDoH0tHGs,0.394,0.22,6,-17.902,1,0.115,0.936,0.021,0.356,0.187,99.655,103264,4
23fcIlXVp6RcCJBMWZHvvx,0.607,0.148,11,-16.222,1,0.0334,0.8,0.196,0.168,0.183,94.971,157792,4
68el6zBDcxiCAYrOxfKC9R,0.544,0.597,2,-10.599,1,0.0277,0.112,0.653,0.21,0.347,97.982,285840,4
3ay2TNWqTDl80wbZVRY7Aw,0.413,0.456,3,-11.971,0,0.0302,0.333,0.863,0.0716,0.126,125.563,218558,5
2nVxL1B523h70Gign7W2Le,0.454,0.681,7,-8.512,1,0.216,0.0777,0.0217,0.13,0.334,140.075,243173,4
5DHTwZEUw1xdt1hmLRGVvW,0.672,0.68,0,-8.265,1,0.0622,0.0286,0.558,0.0929,0.865,173.886,172613,4
0K7SAnBJyaWWAS7MOhX033,0.722,0.613,0,-8.394,1,0.0411,0.119,0.083,0.112,0.398,92.495,161947,4
4QLqCFAGqvHnjOWCtHTsQL,0.576,0.446,6,-6.509,0,0.0427,0.00598,0.000551,0.0899,0.662,91.995,117850,4
7f1mKhZ8s6di51f76Qf03E,0.461,0.55,6,-5.439,0,0.0325,0.137,2.26e-06,0.109,0.526,82.991,143687,4
2pqi703QQcp2zsuS3NgCii,0.586,0.548,0,-7.453,1,0.0249,0.114,2.34e-05,0.222,0.485,139.997,216852,4
4wHo9RDSY0elxbeiMpYNLN,0.56,0.798,7,-5.197,1,0.0357,0.00794,0.793,0.0907,0.271,112.016,274348,4
1oMceEpywwehJQWKGueTlc,0.565,0.694,7,-5.402,1,0.0294,0.00443,4.22e-06,0.288,0.402,135.991,226661,4
53v7WKXc1wO5G4jhjt355p,0.499,0.506,5,-10.684,1,0.0405,0.298,0.00102,0.105,0.164,152.005,242029,4
27q2n59NonHyzNMKXzmaFX,0.598,0.721,9,-6.275,1,0.0349,0.000652,0.0789,0.114,0.196,125.988,239675,4
23ftRN9rp1u4wd0pADRchT,0.43,0.584,0,-7.03,1,0.0349,0.000198,0.000148,0.102,0.364,144.991,227634,4
2fFZuSK5yTfs0gVuwQAldc,0.363,0.222,9,-12.865,1,0.0318,0.326,0.0055,0.115,0.229,183.866,278984,4
5XlcnTmdhoAJBZT1aR4dAd,0.621,0.83,6,-4.955,0,0.035,0.174,4.48e-06,0.0999,0.837,157.083,216775,4
2bTDJaOn3kEBse2wCKugBP,0.673,0.539,9,-7.781,0,0.0667,0.129,0.0,0.285,0.382,150.048,140852,4
7qqrbqHcX0UMSI1SsYVVf6,0.637,0.517,2,-6.804,1,0.0346,0.746,0.0,0.0826,0.172,114.97,244613,4
5dPmZjkMi2OdSpbfgK7MbX,0.464,0.259,9,-23.214,1,0.0597,0.193,2.58e-05,0.138,0.332,127.478,33312,3
2f5pdicJpuT1wxuVe2RU1b,0.487,0.695,2,-5.741,1,0.0321,0.044,0.0,0.226,0.291,85.985,163478,4
6MIgUvbELVf2MwWOre3DzD,0.311,0.334,10,-11.245,1,0.0344,0.799,8.07e-06,0.0827,0.219,152.03,281600,4
1NnmgmsDkJpHdPcjwpPD8U,0.458,0.331,10,-11.173,1,0.0311,0.815,0.0,0.119,0.295,95.856,289841,4
6jJf04Ko4SkCKkbYHSnQur,0.366,0.295,10,-7.698,1,0.0297,0.813,0.0,0.141,0.331,167.394,207531,4
57sVSyUTXyeTJzp5XCToWk,0.5,0.235,5,-23.569,1,0.113,0.715,3.01e-06,0.338,0.975,109.331,31307,3
4tf0AOqQ0LwnLzlI8UGHdy,0.495,0.605,5,-6.207,1,0.03,0.154,0.0,0.118,0.282,82.164,182357,4
16vUeW77F6Xiz1irHBvTAM,0.729,0.708,6,-5.573,1,0.0616,0.0538,0.0,0.102,0.425,117.911,174984,4
28a0aMV1OKoyNiCJuNsWrY,0.584,0.576,9,-4.557,1,0.0519,0.507,0.0,0.212,0.432,170.026,165620,4
0LdAEUc7gyEY6xIG9y3lLM,0.673,0.72,9,-7.318,0,0.039,0.143,1.82e-05,0.913,0.588,123.032,174021,4
6C8nmYYiWCess3VeX3z8ub,0.662,0.859,11,-4.965,0,0.0729,0.00926,0.000683,0.0744,0.847,111.94,187063,4
01VucvkCLw0DXv4o4dEe72,0.601,0.689,0,-5.739,1,0.0283,0.0244,0.18,0.5,0.567,149.933,182213,4
6ffC9UAWjTmkzySSA8fU5W,0.478,0.89,9,-5.024,1,0.0761,0.00815,0.497,0.105,0.612,165.016,198747,3
1eWpA6aUwj0rte0pfTQaB6,0.7,0.673,9,-5.964,1,0.0537,0.318,0.000155,0.296,0.753,93.77,175067,4
2lxwvwNTCT6T2k9agnujeO,0.581,0.499,11,-6.496,1,0.0283,0.245,0.00286,0.0574,0.441,82.505,249267,4
3s4G6XbnAeAKv0AWjH6jdn,0.606,0.941,7,-6.051,1,0.0461,0.132,0.0857,0.489,0.781,96.01,167773,4
0gHAvuqJcbCK80MLDiazsf,0.383,0.339,2,-10.925,1,0.0301,0.739,0.169,0.31,0.234,77.215,200560,4
4t3wd9PwZcdtBwPzGtUlF3,0.705,0.89,7,-7.566,1,0.053,0.032,0.113,0.0536,0.787,95.004,542427,4
4mLZs06q4pO8b6XjgMTQwb,0.731,0.353,7,-9.143,1,0.0291,0.887,0.0151,0.0879,0.299,112.024,261400,4
6J2Q47p4O1mbtxHvSQKYsP,0.675,0.422,8,-9.545,1,0.0323,0.31,0.0366,0.115,0.332,117.74,212333,4
2YbBUSP4vir7GmiTBasAFk,0.127,0.379,11,-12.442,1,0.0323,0.836,0.937,0.106,0.0999,91.077,227320,4
7rXQXbK4pQo8DSKlZ9ZSjC,0.825,0.124,0,-11.175,0,0.0706,0.8,3.42e-06,0.243,0.286,104.724,230333,3
17StH1fNCxJteDDg8UNV8F,0.499,0.76,3,-9.35,1,0.0339,0.204,0.52,0.106,0.281,154.985,304747,4
5G7L8J4NrXcIcCAet5iJbQ,0.448,0.257,2,-8.181,1,0.0305,0.945,0.0,0.368,0.288,97.415,220653,4
3A0iAez44qlrT5yZsdmRn2,0.397,0.758,2,-11.725,1,0.0914,0.13,0.3,0.318,0.157,98.991,362533,4
2Wd0jIZnZI0gkze7ux0ZXs,0.66,0.604,4,-10.423,1,0.0486,0.211,0.666,0.146,0.445,137.993,269573,4
089DTQGTayK6NiJua8JxpY,0.583,0.152,7,-12.377,1,0.0529,0.736,0.00137,0.112,0.209,83.979,361320,4
3kFHCZrwXFBS1vPOHbwi1v,0.339,0.436,7,-13.912,1,0.0329,0.491,0.802,0.118,0.107,128.633,412787,3
0nVp5MZ89mkejkMyzJyBdx,0.561,0.542,0,-9.428,1,0.0357,0.119,0.00209,0.0408,0.758,173.957,309453,4
6jGXS7RaSeqSwl5XyQcjOH,0.139,0.716,10,-6.833,1,0.0461,0.968,0.936,0.0667,0.173,92.424,406107,1
