id,name,total_tracks,available_markets,release_date,artists_id,extract_date
3sAuWSoICmCl9cx6uBr4Ft,Eyes,1,183,2023-04-14,['4GvEc3ANtPPjt1ZJllr5Zl'],2023-04-18
4bOSKl0Hlmi5jXWxcxhHgs,Love Scars II,15,184,2023-04-14,['3KNIG74xSTc3dj0TRy7pGX'],2023-04-18
0pYQlD1qbda3xD2RNNj4F3,願與愁,1,184,2023-04-14,['7Dx7RhX0mFuXhCOUgB01uM'],2023-04-18
6nD2McHVXlAo9NUl96FjQk,太阳与地球,1,183,2023-04-14,['5hFV5x9k9vxFmKFneJIVp5'],2023-04-18
78QvpShQvtm7mk3Ghjqqa3,Your Mind Is Not Your Friend (feat. Phoebe Bridgers),1,184,2023-04-12,['2cCUtGK9sDU2EoElnk0GNB'],2023-04-18
7gErkAlkyVUKrDeNnFV9fq,Drunk On A Flight,12,184,2023-04-14,['7LlIWfvgWlDBXfxCvCFbuC'],2023-04-18
6DwEWwprdASbI7T0sI6q8v,Forever Means,4,184,2023-04-14,['6mKqFxGMS5TGDZI3XkT5Rt'],2023-04-18
7Kb95mdNRyzLjpXA7piX3N,Enjoy Your Life,2,184,2023-04-11,['3X2DdnmoANw8Rg8luHyZQb'],2023-04-18
42PzjjlMNrWtKbZW7gseqr,Seaforth,1,181,2023-04-13,['4wyNyxs74Ux8UIDopNjIai'],2023-04-18
57O5Ll1mLkLQgSeOCayVCe,Enigmatic Society,9,184,2023-04-14,"['6p70iKebfMSl8zbkiEwOtS', '7MNEVabc4cs19CbzAFZmXz', '5cM1PvItlR21WUyBnsdMcn']",2023-04-18
327tc3Eruk1HP1w62iqROy,Baby Don't Hurt Me,2,183,2023-04-06,"['1Cs0zKBU1kc0i8ypK3B9ai', '1zNqDE7qDGCsyzJwohVaoX', '6AMd49uBDJfhf30Ak2QR5s']",2023-04-18
2lqGGudTqfh9zLgx0CWiSU,Dreamer,1,184,2023-04-07,['7vk5e3vY1uw9plTHJAMwjN'],2023-04-18
