id,name,explicit,available_markets,popularity,album_id,artist_id,extract_date
6wuASGjSmuoGXdWsBH7X4U,Eyes,0,183,60,3sAuWSoICmCl9cx6uBr4Ft,4GvEc3ANtPPjt1ZJllr5Zl,2023-04-18 12:24:52.395375
1oaNA9pW7LMxOVesTbuzwF,Casamigos Nights,1,184,50,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
3V6M4KzhY9i9MYivxbZsmG,Games Women Play,1,184,48,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
1ojviuT9dnSaSBp5JLgrg3,The Way You Rock,0,184,49,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
2ar3bdXAIbWp4vTuYHryVV,Lonely Winters,1,184,49,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
24KsIgn3IsG6N5e43XQvvx,Waterfalls,1,184,49,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
1uNceGQIqxq8VR77PHy1gk,Under My Spell,1,184,48,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
7dKKGLfPUPPp4YsAke8iWE,Distant Lover,1,184,56,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
7jGMzM2U1lHn3ZmFxFyizv,Angel Dust,1,184,48,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
5S7WIT0rglr6IEICW9uerv,2am in Dallas,1,184,49,4bOSKl0Hlmi5jXWxcxhHgs,3KNIG74xSTc3dj0TRy7pGX,2023-04-18 12:24:52.395375
