,track_id,id,name,followers,genres,popularity
0,6EOKwHETwSkZ9gW2b6ASE0,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,5814168,"['melodic rap', 'pluggnb', 'rap', 'trap', 'viral rap']",79
1,0a1LpYLrp1VNwEekoqFJx5,0kSazizYsGZQYKRfROiVb8,Coma,79,[],5
2,1esVK0wgkpFJ31eHvHZ7M9,3qNVuliS40BLgXGxhdBdqu,TAEYEON,2703917,"['k-pop', 'pop']",70
3,1RgSs1Jy3QHiacsnMxAAL2,44T03OWDUjwDgg4IYgFCWi,MARUV,287582,"['russian pop', 'ukrainian pop']",46
4,7zFBtYAVURF3bUVqEQ6UUu,2KC9Qb60EaY0kW4eH68vr3,ITZY,5263838,['k-pop girl group'],76
5,44ZRUhwJopErgSsvJ8iH7I,2ao7Jx5TiinWuCtz6Lig4g,Alcides,19649,['cumbia villera'],47
6,5lcL51XmmTrQy09H85wIJZ,7ygNQCdpQWW7iSWAxDhvhI,DJ Alex,745536,"['cumbia 420', 'previa']",66
7,3dLiBBKbeUIhzGNeuo5JGS,1bAftSH8umNcGZ0uyV7LMg,Duki,8152056,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",87
8,3dLiBBKbeUIhzGNeuo5JGS,5pughe5rcsOq3GF0utMOs5,DrefQuila,1022970,"['reggaeton chileno', 'trap chileno', 'urbano chileno', 'urbano latino']",64
9,6sAwJPgaSQ9Q4XGnbx1gZb,1r4hJ1h58CWwUQe3MxPuau,Maluma,33403829,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",86
10,6sAwJPgaSQ9Q4XGnbx1gZb,4obzFoKoKRHIphyHzJ35G3,Becky G,13158864,"['dance pop', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",81
11,6sAwJPgaSQ9Q4XGnbx1gZb,7FNnA9vBm6EKceENgCGRMb,Anitta,12726280,"['funk pop', 'funk rj', 'pagode baiano', 'pop nacional']",82
12,3gu0fRSgFuc4FmrtIv0DnC,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,6141213,"['electro latino', 'latin hip hop', 'reggaeton', 'urbano latino']",83
13,3gu0fRSgFuc4FmrtIv0DnC,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,35954653,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",91
14,3T5QSIgoaPIh07SwixRDp7,47MpMsUfWtgyIIBEFOr4FE,Lunay,8085149,"['latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",73
15,3T5QSIgoaPIh07SwixRDp7,1Ts9of7VPZElwPQnqnDSfW,Lyanno,974374,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",78
16,3T5QSIgoaPIh07SwixRDp7,2R21vXR83lH98kGeO99Y66,Anuel AA,27526699,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",91
17,3T5QSIgoaPIh07SwixRDp7,00XhexlJEXQstHimpZN910,Brytiago,6035429,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",77
18,3T5QSIgoaPIh07SwixRDp7,2DspEsT7UXGKd2VaaedgG4,Alex Rose,3422359,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",72
19,68NhevkESo24f9nTL8fDFP,3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,20863848,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']",80
20,3M2cSpHsIk0xUvTsWbkM1q,7ygNQCdpQWW7iSWAxDhvhI,DJ Alex,745536,"['cumbia 420', 'previa']",66
21,3M2cSpHsIk0xUvTsWbkM1q,1qoJTYkRvsRJMTOxnUnpNW,Papichamp,226305,['cumbia pop'],56
22,3M2cSpHsIk0xUvTsWbkM1q,2Jb9jVnCpWkXtoGznFJ6bF,ECKO,1085494,"['argentine hip hop', 'previa', 'trap argentino']",69
23,0Ldh6OMRNPUAkDazVwnKWP,68mkWeq03e98dvIEI0jr0N,Walter Olmos,348293,['cuarteto'],52
24,5Rb1YFwlxt1AgMaqbOpZzf,6pVmT18pd1QaofDegZUEKX,La Nueva Luna,810385,"['argentine rock', 'cumbia villera']",63
25,0cAPaxRoHX5DPpdV8MQcS8,4She1focTkX0pwpJUtS5eo,Banda XXI,649906,"['argentine rock', 'cuarteto', 'cumbia pop', 'cumbia villera']",62
26,7kuRvjpeUcn6qNV9IBXC2C,2QUvtLq6oQaX0LNsYY2fas,Cauty,998345,"['dominican pop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",62
27,7kuRvjpeUcn6qNV9IBXC2C,00XhexlJEXQstHimpZN910,Brytiago,6035429,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",77
28,7kuRvjpeUcn6qNV9IBXC2C,1TtXnWcUs0FCkaZDPGYHdf,Darell,3519436,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",78
29,7kuRvjpeUcn6qNV9IBXC2C,00me4Ke1LsvMxt5kydlMyU,Cosculluela,5279502,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",74
30,7kuRvjpeUcn6qNV9IBXC2C,11YLRSsZA3YVuQQtHXKTlz,Rafa Pabön,258109,"['dominican pop', 'reggaeton', 'reggaeton flow', 'urbano latino']",70
31,7kuRvjpeUcn6qNV9IBXC2C,37230BxxYs9ksS7OkZw3IU,Chencho Corleone,448176,['reggaeton flow'],83
32,2ZixSR7OKIpdPUk4dwOekn,3Mr0TsHv8DUbDBMEFW2L9T,Daniel Cardozo,81067,['cumbia villera'],53
33,2ZixSR7OKIpdPUk4dwOekn,25EjahuVJSUCDKUBZXZatX,Dario y Su Grupo Angora,4856,[],49
34,2ZixSR7OKIpdPUk4dwOekn,5L6GbwWUM3Oi5GPnkmmp24,Los del Fuego,265190,"['cumbia pop', 'cumbia santafesina', 'cumbia villera']",62
35,2ZixSR7OKIpdPUk4dwOekn,2CEKDXUTkOu4LnGFysySTg,Sebastian Mendoza,242405,['cumbia villera'],57
36,2ZixSR7OKIpdPUk4dwOekn,3NSJOyQdSXncJloHqhwlQB,Daniel Agostini,278859,['cumbia villera'],57
37,2ZixSR7OKIpdPUk4dwOekn,6pVmT18pd1QaofDegZUEKX,La Nueva Luna,810385,"['argentine rock', 'cumbia villera']",63
38,2ZixSR7OKIpdPUk4dwOekn,3OSozwQXzKD9PY3M4hfkEW,Grupo Green,69963,['cumbia villera'],47
39,2ZixSR7OKIpdPUk4dwOekn,7zGKMkRT4IMLgAJmFhf5cz,Grupo Red,152201,"['cumbia chilena', 'cumbia villera']",55
40,2ZixSR7OKIpdPUk4dwOekn,3OrjkcpKAlJClVOopBZicQ,Siete Lunas,71455,['cumbia villera'],51
41,2ZixSR7OKIpdPUk4dwOekn,7s652lD4v77szrPEfgMTBi,Antonio Rios,65960,"['chicha', 'cumbia chilena', 'cumbia villera']",54
42,2ZixSR7OKIpdPUk4dwOekn,0YykZZ5GBtvN0rOjEMIiK6,Adrián y Los Dados Negros,38302,"['cumbia chilena', 'cumbia ranchera']",50
43,2ZixSR7OKIpdPUk4dwOekn,1wsio1S9CIIbEuGSYkSAyQ,Lia Crucet,17595,[],47
44,2ZixSR7OKIpdPUk4dwOekn,6Q6qTNC2rAegcR5QjzcRgE,Gilda,817930,"['argentine rock', 'cumbia villera', 'rock en espanol']",61
45,2ZixSR7OKIpdPUk4dwOekn,2ao7Jx5TiinWuCtz6Lig4g,Alcides,19649,['cumbia villera'],47
46,2ZixSR7OKIpdPUk4dwOekn,2Htm0q72SjGSmsy8EOIhRG,Los Palmeras,1695934,"['cumbia santafesina', 'cumbia villera']",66
47,2ZixSR7OKIpdPUk4dwOekn,1SRNZiV2995TDuGjCrzJX0,Koli Arce,40,[],43
48,2ZixSR7OKIpdPUk4dwOekn,3INpNKdy8YeJs8AjyTZ6Hd,Supermerk2,40,[],43
49,2ZixSR7OKIpdPUk4dwOekn,2Mu8h5sFkOziL0Rfn7FXIA,Leo Mattioli,1340286,"['argentine rock', 'cumbia santafesina', 'cumbia villera']",66
50,2ZixSR7OKIpdPUk4dwOekn,0VKh7CQDi9MkUvaBMoK1V0,Bronco,3010362,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno', 'ranchera', 'tropical']",75
51,2ZixSR7OKIpdPUk4dwOekn,0Ix9ueRtVdLF0RglhJVT7X,Grupo Veneno,2,[],43
52,2ZixSR7OKIpdPUk4dwOekn,13KeE3TnUrYh367HJu0sMx,Mario Luis,427491,['cumbia villera'],61
53,76BnEV7y0FIyDodcCt9sxC,6pVmT18pd1QaofDegZUEKX,La Nueva Luna,810385,"['argentine rock', 'cumbia villera']",63
54,2cTKuxpHcPzDFRbbhE2WxP,3ghRXw2nUEH2THaL82hw8R,La K'onga,1624313,['cuarteto'],77
55,1IlbkW24QMlXRs5GF15FMM,6oMRQ5H3A2XA5I3RG3leni,Alan Gomez,861127,"['cumbia 420', 'previa']",72
56,0mAkTqg7vQ8YmpQ7o1I6gR,1bAftSH8umNcGZ0uyV7LMg,Duki,8152056,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",87
57,6KzeUBu1BE8q24CblG6oku,2Mu8h5sFkOziL0Rfn7FXIA,Leo Mattioli,1340286,"['argentine rock', 'cumbia santafesina', 'cumbia villera']",66
58,4VhLKoBrfuxHbBOi5Xi26D,6oMRQ5H3A2XA5I3RG3leni,Alan Gomez,861127,"['cumbia 420', 'previa']",72
59,6NipZljiEekGRNF6vddEP3,6Q6qTNC2rAegcR5QjzcRgE,Gilda,817930,"['argentine rock', 'cumbia villera', 'rock en espanol']",61
60,6JtV50W4szsOD04QREQgXk,7HSeegdmjLYRJpkOYIaZIW,El Reja,364118,"['cumbia pop', 'previa']",54
61,0XKe4lkaD7kGhMwYXlg1Pn,7ygNQCdpQWW7iSWAxDhvhI,DJ Alex,745536,"['cumbia 420', 'previa']",66
62,03G43mO3a34IGIsyDd4sj5,09jut908wvFm55SqnO4DN3,"Gladys ""La bomba tucumana""",15299,[],37
63,0Ir7G0Xba6PIDUBKObagNA,6pVmT18pd1QaofDegZUEKX,La Nueva Luna,810385,"['argentine rock', 'cumbia villera']",63
64,2KTrV1P4FIooFm8wFRcUBQ,71LpuZycPgIv82EdxoRIrt,La Piedra Urbana,152364,"['cumbia pop', 'cumbia villera']",44
65,4bSCJTXKPSb63oyOteNLSR,3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,20863848,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']",80
66,3GUMMzUB7Kk0BSqxEDyieS,3YeBTR1Q1rUxKguz4jP6UV,Damas Gratis,1966650,"['cumbia 420', 'cumbia villera']",69
67,0todbbT9g5uQGbeFCiBf2F,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,88644990,"['dance pop', 'pop']",93
68,7pdF27mSDuPWhppnHAmWHa,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,40783436,"['emo rap', 'miami hip hop']",89
69,1NJcg626wLln4pGHpiV7mf,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,77693527,"['art pop', 'electropop', 'pop']",90
70,1NJcg626wLln4pGHpiV7mf,6LuN9FCkKOj5PcnpouEgny,Khalid,15850321,"['pop', 'pop r&b']",88
71,2FUNBaa5DwItJtYEBgAblU,1URnnhqYAYcrqrcwql10ft,21 Savage,13062345,"['atl hip hop', 'rap']",94
72,4NBTZtAt1F13VvlSKe6KTl,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19985423,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",83
73,4NBTZtAt1F13VvlSKe6KTl,3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,995341,"['contemporary country', 'country', 'pop']",77
