,track_id,album_id,artists_id
0,6tHWl8ows5JOZq9Yfaqn3M,5TR37lsXlmSmzFuIcXn5Dp,['4GvEc3ANtPPjt1ZJllr5Zl']
1,6jnDfM8vtRWgN7R4XSQpWJ,38a2WAOmKATxDnWR2Qto6i,['784M9lpFRKOqY5C0GUY9Uw']
2,4k9zexSmoSS6EER7F7SoPg,120G2r2H8IebEqQ33nkpZG,['6IH1y7lDZ4f5emA2chtADV']
3,6hAKGURpSwL2tvmfjnkWGr,23XhSkkWHaz00yKYsvYyF0,['5ZZqIQ25HQmufjjf2trwFO']
4,6iyp6udVpLuq3MCUulZT4h,6xEahv0rPP5PHJh4kpQ6jT,['4xRYI6VqpkE3UwrDrAZL8L']
5,2XW4DbS6NddZxRPm5rMCeY,1r0DOIO0iC0bGpMtWRFdde,['3TVXtAsR1Inumwj472S9r4']
6,6sIgHBjmtF5AgGa0av55Pn,3VoHRaLI6YOD6GfWycYUPg,['3hvKmeo12OU7ai8Mpgraf7']
7,7bRRHQelMfrP86QYQlCsAq,0rn5NTlUuUcigNcNfHvAUO,['7gZfnEnfiaHzxARJ2LeXrf']
8,73xYYths9kvmFvYsd9gC9Z,6GIlUDPdLxPLpPfVJvIwgJ,['5kjGRHClVacSyllOUqU1S0']
9,2zJJro5CPAVwwzLQQdcBbu,13PUJeFZuuBBse0hPuZa9U,['5z9PI0y6MRnL9BCHOI5ilL']
10,0EM85Qj3526QtxCBOQL6rT,3VDAjCOWVKdGVmnVFvTTUr,['1KbDYbNErlTGfWPENELJgM']
11,5EzitieoPnjyKHAq0gfRMa,53pJcIJBdlm5rhVhjSnvHn,['3cjEqqelV9zb4BYE3qDQ4O']
12,3ITvHA9zhZZdBJsOsAUegF,4annOKYUndCvdKTI969cLV,['4q3ewBCX7sLwd24euuV69X']
13,2j2fIJGh4PMdXt9ULI5Tlc,54VmokqtItjmIaX8yDCse3,['4VMYDCV2IEDYJArk749S6m']
14,4R55IUi2x7S5ek2SpebOiE,3ZMbdHPyw01HOFVsBAMDch,['2OnKRchqP7tT0FzTvWIFI7']
15,33bnxcjePIkcmNjEFTJX0l,70WadO9CAH4rOI1rEbTS0a,"['4bw2Am3p9ji3mYsXNXtQcd', '0tmwSHipWxN12fsoLcFU3B']"
16,2Z4VK9otSeq3MxWcEgptUa,5ZXbbSLESrhjvQz5dEpfEx,['1bAftSH8umNcGZ0uyV7LMg']
17,3TnhQSRwT3AVMdXw5JPq0x,1pxbRsIbgUi8eA5lUzFlyi,"['3vQ0GE3mI0dAaxIMYe5g7z', '1pQWsZQehhS4wavwh7Fnxd']"
18,1zsG4eaZmkA1dvjDDsAGLK,2wRRkEL20LRmLg64NI2Ru2,"['4V8Sr092TqfHkfAA5fXXqG', '6S2OmqARrzebs0tKUEyXyp']"
19,4lESS6vuruP6a79KWRaQou,43L6RVso9ofWovMxsdWEGo,"['1r4hJ1h58CWwUQe3MxPuau', '1B0Rp4SWGnFgGCPU5Pju6E']"
20,6Za3190Sbw39BBC77WSS1C,0S19ks6TFDHZKEYWFvrRm0,"['1GDbiv3spRmZ1XdM1jQbT7', '1i8SpTcr7yvPOmcqrbnVXY']"
21,2rZB6indPhp8C5AZK1PpkS,2YFllgJobsJEc0PCtfIxy6,['4m6ubhNsdwF4psNf3R8kwR']
22,5Y9fnynLlIvqtM710MHzfz,4s05NbwGgw5SO42AdsN5Oo,['1i8SpTcr7yvPOmcqrbnVXY']
23,5hcisvFMidkMJlElTO9Qmw,287ZdmXv5M5YH5xxdGLhbY,"['4q3ewBCX7sLwd24euuV69X', '3MHaV05u0io8fQbZ2XPtlC', '1vyhD5VmyZ7KMfW5gqLgo5', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD']"
24,3Ga6eKrUFf12ouh9Yw3v2D,1qifX05Cb36CfsIgnhv2Lt,"['7FNnA9vBm6EKceENgCGRMb', '1vyhD5VmyZ7KMfW5gqLgo5']"
25,2vvdTrdryjsl8DmPIMDWZU,5phDwq3mKZdLiFxyRpgcCV,"['7qG3b048QCHVRO5Pv1T5lw', '4q3ewBCX7sLwd24euuV69X']"
26,7rwX0O3RlxqqIjQM8evm5E,27Exjl2H0oI6X0WCzZd7Bk,"['1i8SpTcr7yvPOmcqrbnVXY', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD', '4q3ewBCX7sLwd24euuV69X', '3E6xrwgnVfYCrCs0ePERDz', '6P6GTRTigHBp8ZesNtpCKH']"
27,6jA8JUuPCGYjFcgw0AoM5T,1QsrAiIvA7njuEMwP9poqt,"['0vR2qb8m9WHeZ5ByCbimq2', '1i8SpTcr7yvPOmcqrbnVXY', '3E6xrwgnVfYCrCs0ePERDz']"
28,0MIcPSq9n2z5H8TAfEstri,4s05NbwGgw5SO42AdsN5Oo,"['1i8SpTcr7yvPOmcqrbnVXY', '1vyhD5VmyZ7KMfW5gqLgo5']"
29,7ehmaSwhEZv4aaJzxsVMGY,0iGKT2RH3hdRRPbf0qAOG3,"['1bAftSH8umNcGZ0uyV7LMg', '4m6ubhNsdwF4psNf3R8kwR']"
30,1m69ELEgE6k5ZWsap40ozt,4s05NbwGgw5SO42AdsN5Oo,['1i8SpTcr7yvPOmcqrbnVXY']
31,2EzRdhuoPyNJDlep7lnNf2,5kpilAKnaFNV2DX5ewD7x7,['5H1nN1SzW0qNeUEZvuXjAj']
32,6kOHug1s9Nd5gsHrX8irs2,6yxx3BanYeSaZgEHKVQazC,"['2wkoKEfS6dXwThbyTnZWFU', '790FomKkXshlbRYZFtlgla', '4obzFoKoKRHIphyHzJ35G3', '6BeO1KuAWBqFriL1mLHtNc', '22P1OY4TRFRwhP0q29loQ8']"
33,5ojXuKXBYq0apcNucYSDXq,7gdDHjGXzWOV2puAthWYos,['0eecdvMrqBftK0M1VKhaF4']
